7 (0) [-001]    0-63-000     156
7 (0) [-001]    0-04-001     2004
7 (0) [-001]    0-04-002     4
7 (0) [-001]    0-04-003     22
7 (0) [-001]    0-04-004     15
7 (0) [-001]    0-04-005     0
7 (0) [-001]    0-01-198     [78062   ]
7 (0) [-001]    0-01-001     78
7 (0) [-001]    0-01-002     62
7 (0) [-001]    0-05-002     26.55
7 (0) [-001]    0-06-002     -78.7
7 (0) [-001]    0-07-001     11
7 (0) [-001]    0-33-215     0
7 (0) [-001]    0-35-195     [369 ]
7 (0) [-001]    0-35-021     [YYXX84]
7 (0) [-001]    0-35-023     [KAWN]
7 (0) [-001]    0-35-022     [221500]
7 (0) [-001]    0-35-194     [RRB   ]
7 (0) [-001]    0-08-202     0
7 (0) [-001]    0-04-200     2004
7 (0) [-001]    0-04-201     4
7 (0) [-001]    0-04-202     22
7 (0) [-001]    0-04-203     15
7 (0) [-001]    0-04-204     0
7 (0) [-001]    0-02-193     1
7 (0) [-001]    0-02-001     1
7 (0) [-001]    0-13-194     3
7 (0) [-001]    0-20-001     28000
7 (0) [-001]    0-02-002     12
7 (0) [-001]    0-33-195     undef (15)
7 (0) [-001]    0-11-001     160
7 (0) [-001]    0-11-002     5.7
7 (0) [-001]    0-33-193     undef (15)
7 (0) [-001]    0-12-101     298.75
7 (0) [-001]    0-33-194     undef (15)
7 (0) [-001]    0-12-103     290.25
7 (0) [-001]    0-02-038     undef (7)
7 (0) [-001]    0-33-218     undef (15)
7 (0) [-001]    0-22-043     undef (327.67)
7 (0) [-001]    0-33-207     undef (15)
7 (0) [-001]    0-10-004     undef (163830)
7 (0) [-001]    0-10-051     102170
7 (0) [-001]    0-10-063     undef (15)
7 (0) [-001]    0-10-061     undef (5230)
7 (0) [-001]    0-13-021     undef (1638.2)
7 (0) [000]    0-13-019     undef (1638.2)
7 (0) [000]    0-13-020     0
7 (0) [000]    0-13-022     undef (1638.2)
7 (0) [000]    0-13-023     undef (1638.2)
7 (0) [-001]    0-20-010     50
7 (0) [-001]    0-20-201     5
7 (0) [000]    0-08-002     7
7 (0) [000]    0-20-011     3
7 (0) [000]    0-20-012     32
7 (0) [000]    0-20-013     undef (20070)
7 (0) [001]    0-08-002     8
7 (0) [001]    0-20-011     undef (15)
7 (0) [001]    0-20-012     20
7 (0) [001]    0-20-013     undef (20070)
7 (0) [002]    0-08-002     9
7 (0) [002]    0-20-011     undef (15)
7 (0) [002]    0-20-012     14
7 (0) [002]    0-20-013     undef (20070)
7 (0) [000]    0-58-008     [78062 32]
7 (0) [001]    0-58-008     [578 4161]
7 (0) [002]    0-58-008     [1 10256 ]
7 (0) [003]    0-58-008     [20171 40]
7 (0) [004]    0-58-008     [217 8320]
7 (0) [005]    0-58-008     [4 83825 ]
7 (0) [006]    0-58-008     [84075   ]
7 (0) [000]    0-63-255     0
7 (0) [001]    0-63-255     0
7 (0) [002]    0-63-255     0
7 (0) [003]    0-63-255     0

